m,start,end,n0,n1,add,rem,nt,si,se,tt,tt_usd,ta,ta_usd,ta_cov,sh0,partial
2025-07,2025-06-30,2025-07-31,33,34,1,0,0.030303030303030304,0.0606512960644177,0.04485231150151305,0.29949158805331666,301524223.5506097,0.08382166110991748,65853271.39059672,1.0,98356068.0,
2025-08,2025-07-31,2025-08-29,34,36,2,0,0.058823529411764705,0.059678432838678144,0.05657294572009743,0.15099676954134503,183434023.6303946,0.02993390745960915,76722843.6150142,1.0,100790951.0,
2025-09,2025-08-29,2025-09-30,36,36,0,0,0.0,0.06418165161932574,0.06418165161932574,0.13837497274072186,141283892.65008852,0.012116006893007729,13226839.529999997,1.0,103318033.0,
2025-10,2025-09-30,2025-10-31,36,36,0,0,0.0,0.08681312349068568,0.08681312349068568,0.27976674826228537,343096758.95490235,0.036316401258903834,58836484.885,1.0,97859421.0,
2025-11,2025-10-31,2025-11-28,36,35,0,1,0.027777777777777776,0.043991659700025706,0.043880999467286796,0.20821602757379595,303748947.0750059,0.027184101569428652,107743459.97500001,1.0,105444169.0,
2025-12,2025-11-28,2025-12-31,35,34,0,1,0.02857142857142857,0.024251508307798375,0.024246871947652293,0.18800896120795002,242130725.43564433,0.019813208009165573,40469354.58521537,1.0,102071507.0,
2026-01,2025-12-31,2026-01-30,34,34,0,0,0.0,0.05056721317250938,0.05056721317250938,0.21127427265288218,275447612.75001764,0.00815394628585439,27276809.445047006,1.0,103262147.0,
2026-02,2026-01-30,2026-02-27,34,34,0,0,0.0,0.05304630104837541,0.05304630104837541,0.25718796946202405,342197795.9647832,0.037205856811624465,75620514.53,0.8861284490423416,108463246.0,
2026-03,2026-02-27,2026-03-31,34,31,3,6,0.2647058823529412,0.11973278366028028,0.08340362420560242,0.22341714569341276,316426107.8626045,0.06025898018200486,94178192.48588009,0.9801152483313125,112775888.0,
2026-04,2026-03-31,2026-04-30,31,32,1,0,0.03225806451612903,0.02166953984381416,0.016060303487814037,0.24802676568349014,302792407.5546678,0.017065754318589213,22958606.638787314,0.6908106037115637,101858785.0,
2026-05,2026-04-30,2026-05-29,32,32,0,0,0.0,0.05100428536419747,0.05100428536419747,0.1972369918891767,244704969.43683878,0.00517010152809759,21533565.22,1.0,102586380.0,
2026-06,2026-05-29,2026-06-30,32,32,0,0,0.0,0.09657031056947722,0.09657031056947722,0.28145638865696637,417313805.0328898,0.034425656334062936,81246589.39,1.0,97435557.0,
2026-07,2026-06-30,2026-07-31,32,32,1,1,0.0625,0.11164735270689892,0.1072302376188961,0.3107224369099677,544203500.6206954,0.10575092034456246,199235828.51919988,0.9675922453843667,105409163.0,
2026-08,2026-07-31,2026-08-31,32,32,1,1,0.0625,0.08417833177965284,0.06214511464647691,0.21391120437273756,391031868.20367634,0.04018361643277979,85988079.35002202,0.9548108374435679,104855321.0,
2026-09,2026-08-31,2026-09-03,32,32,0,0,0.0,0.006519902166584077,0.006519902166584077,0.013751679874693667,39592529.801159546,0.00147132844875399,2062857.465,1.0,110367607.0,True
