date,fund,company,ticker,cusip,weight,shares_held,market_value
2026-06-23,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.36,148,44388.16
2026-06-23,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.28,5229,5229.09
2026-06-23,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.14,-230,-96505.70
2026-06-24,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,94.53,22953,1760036.04
2026-06-24,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,7.47,113,139057.80
2026-06-24,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.89,148,35135.20
2026-06-24,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.28,5229,5229.09
2026-06-24,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-4.17,-230,-77611.20
2026-06-25,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,94.61,22953,1760954.16
2026-06-25,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,7.40,113,137811.41
2026-06-25,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.84,148,34282.72
2026-06-25,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.28,5229,5229.09
2026-06-25,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-4.13,-230,-76909.70
2026-06-26,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,94.48,22953,1756822.62
2026-06-26,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,7.48,113,139011.47
2026-06-26,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.80,148,33547.16
2026-06-26,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.28,5229,5229.09
2026-06-26,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-4.04,-230,-75058.20
2026-06-29,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,95.29,22953,1793317.89
2026-06-29,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,6.82,113,128431.28
2026-06-29,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.90,148,35709.44
2026-06-29,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.28,5229,5229.09
2026-06-29,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-4.29,-230,-80810.50
2026-06-30,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,96.69,22953,1850700.39
2026-06-30,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,5.82,113,111485.80
2026-06-30,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.26,148,43247.08
2026-06-30,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.27,5229,5229.09
2026-06-30,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.05,-230,-96687.40
2026-07-01,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,96.94,22953,1855061.46
2026-07-01,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,5.65,113,108190.72
2026-07-01,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.33,148,44642.72
2026-07-01,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.27,5229,5229.09
2026-07-01,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.20,-230,-99477.30
2026-07-02,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,97.65,22953,1878703.05
2026-07-02,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,5.20,113,99958.67
2026-07-02,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.52,148,48551.40
2026-07-02,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.27,5229,5229.09
2026-07-02,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.64,-230,-108493.30
2026-07-06,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,97.49,22953,1864931.25
2026-07-06,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,5.22,113,99832.11
2026-07-06,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.44,148,46756.16
2026-07-06,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.27,5241,5240.88
2026-07-06,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.43,-230,-103858.80
2026-07-07,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,98.58,22953,1919100.33
2026-07-07,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,4.68,113,91158.23
2026-07-07,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.99,148,58230.60
2026-07-07,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.27,5241,5240.88
2026-07-07,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-6.53,-230,-127026.70
2026-07-08,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,97.34,22953,1863554.07
2026-07-08,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,5.37,113,102753.16
2026-07-08,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.48,148,47527.24
2026-07-08,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.27,5241,5240.88
2026-07-08,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.46,-230,-104606.30
2026-07-09,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,96.65,22953,1839912.48
2026-07-09,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,5.75,113,109530.90
2026-07-09,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.16,148,41189.88
2026-07-09,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.28,5241,5240.88
2026-07-09,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-4.84,-230,-92218.50
2026-07-10,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,97.39,22953,1871358.09
2026-07-10,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,5.34,113,102599.48
2026-07-10,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.42,148,46439.44
2026-07-10,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.26,4973,4972.86
2026-07-10,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.40,-230,-103766.80
2026-07-13,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,96.69,22953,1841863.49
2026-07-13,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,5.77,113,109909.45
2026-07-13,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.23,148,42443.44
2026-07-13,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.26,4973,4972.86
2026-07-13,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-4.95,-230,-94286.20
2026-07-14,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,95.64,22953,1795842.72
2026-07-14,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,6.33,113,118940.41
2026-07-14,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.71,148,32133.76
2026-07-14,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.26,4973,4972.86
2026-07-14,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-3.95,-230,-74163.50
2026-07-15,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,96.20,22953,1825222.56
2026-07-15,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,5.92,113,112379.63
2026-07-15,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.82,148,34574.28
2026-07-15,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.26,4973,4972.86
2026-07-15,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-4.21,-230,-79918.10
2026-07-16,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,96.42,22953,1827058.80
2026-07-16,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,5.73,113,108629.16
2026-07-16,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.78,148,33789.88
2026-07-16,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.26,4973,4972.86
2026-07-16,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-4.20,-230,-79612.20
2026-07-17,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,94.64,22953,1759806.51
2026-07-17,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,6.84,113,127135.17
2026-07-17,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.25,148,23181.24
2026-07-17,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.27,4973,4972.86
2026-07-17,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-2.99,-230,-55609.40
2026-07-20,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,93.46,22953,1726065.60
2026-07-20,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,7.71,113,142473.79
2026-07-20,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,0.99,148,18317.96
2026-07-20,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.27,4973,4972.86
2026-07-20,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-2.44,-230,-44997.20
2026-07-21,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,93.24,22953,1720327.35
2026-07-21,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,7.85,113,144837.75
2026-07-21,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,0.93,148,17142.84
2026-07-21,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.27,4973,4972.86
2026-07-21,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-2.29,-230,-42276.30
2026-07-22,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,95.02,22953,1783333.34
2026-07-22,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,6.50,113,121916.83
2026-07-22,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.19,148,22271.04
2026-07-22,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.26,4973,4972.86
2026-07-22,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-2.96,-230,-55604.80
2026-07-23,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,94.06,22953,1745116.59
2026-07-23,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,7.19,113,133341.13
2026-07-23,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.02,148,19016.52
2026-07-23,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.27,4973,4972.86
2026-07-23,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-2.54,-230,-47147.70
2026-07-24,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,92.56,22953,1694619.99
2026-07-24,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,8.30,113,151884.43
2026-07-24,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,0.73,148,13351.08
2026-07-24,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.27,4973,4972.86
2026-07-24,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-1.86,-230,-34081.40
2026-07-27,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,91.22,22953,1650091.17
2026-07-27,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,9.40,113,170032.23
2026-07-27,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,0.60,148,10769.96
2026-07-27,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.27,4973,4972.86
2026-07-27,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-1.49,-230,-26887.00
2026-07-28,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,91.65,22953,1664781.09
2026-07-28,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,8.97,113,162995.72
2026-07-28,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,0.56,148,10188.32
2026-07-28,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.27,4973,4972.86
2026-07-28,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-1.46,-230,-26436.20
2026-07-29,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,91.55,22953,1662944.85
2026-07-29,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,9.03,113,164108.77
2026-07-29,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,0.48,148,8726.08
2026-07-29,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.27,4973,4972.86
2026-07-29,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-1.34,-230,-24271.90
2026-07-30,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,90.22,22953,1620022.74
2026-07-30,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,10.17,113,182648.68
2026-07-30,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,0.47,148,8403.44
2026-07-30,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.28,4973,4972.86
2026-07-30,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-1.14,-230,-20506.80
2026-07-31,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,91.73,22953,1673273.70
2026-07-31,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,8.83,113,161049.86
2026-07-31,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,0.50,148,9152.32
2026-07-31,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.27,4973,4972.86
2026-07-31,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-1.33,-230,-24343.20
2026-08-03,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,90.52,22953,1635171.72
2026-08-03,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,9.81,113,177273.27
2026-08-03,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,0.44,148,7919.48
2026-08-03,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.28,4973,4972.86
2026-08-03,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-1.05,-230,-19011.80
2026-08-04,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,92.08,22953,1687963.62
